Location,Number of regular chargers,Speed regular chargers (kW),Number of fast chargers,Speed fast chargers (kW)
3584H,1,11,0,50
3435H,1,11,0,50
3543H,1,11,0,50
3582H,1,11,0,50
3813H,1,11,0,50
3812B,0,11,1,50
3821B,0,11,1,50
3823B,0,11,1,50
3941B,0,11,1,50
3608B,0,11,1,50
3435B,0,11,1,50
4145B,0,11,1,50
3582B,0,11,1,50
3561B,0,11,1,50
3911B,0,11,1,50
3645B,0,11,1,50
3447B,0,11,1,50
3707B,0,11,1,50
3417B,0,11,1,50
3648B,0,11,1,50
3743B,0,11,1,50
3769B,0,11,1,50
3931B,0,11,1,50
3958B,0,11,1,50
3991B,0,11,1,50
4128B,0,11,1,50
