Location,Number of regular chargers,Speed regular chargers (kW),Number of fast chargers,Speed fast chargers (kW)
3584H,50,11,0,50
3435H,50,11,0,50
3543H,50,11,0,50
3582H,50,11,0,50
3813H,50,11,0,50
3812B,50,11,0,50
3821B,50,11,0,50
3823B,50,11,0,50
3941B,50,11,0,50
3608B,50,11,0,50
3435B,50,11,0,50
4145B,50,11,0,50
3582B,50,11,0,50
3561B,50,11,0,50
3911B,50,11,0,50
3645B,50,11,0,50
3447B,50,11,0,50
3707B,50,11,0,50
3417B,50,11,0,50
3648B,50,11,0,50
3743B,50,11,0,50
3769B,50,11,0,50
3931B,50,11,0,50
3958B,50,11,0,50
3991B,50,11,0,50
4128B,50,11,0,50
